rank,trend,season,episode,name,start,total_votes,average_rating
30117.00,29,1,482,Hi o mo Yaki Tsukusu Chikara: Akainu Hijou no Tsuigeki,2011,334,9.1
20664.00,58,1,483,Kotae o Sagashite: Hiken Ace Senjou ni Shisu,2011,524,9.3
34454.00,23,1,484,Kaigun Honbu Houkai! Shirohige Kotobanaki Ikari!,2011,285,9
27093.00,37,1,485,Kejime o Tsukeru: Shirohige vs Kurohige Kaizokudan,2011,370,9.3
49315.00,12,1,486,Show no Kaimaku: Akasareta Kurohige no Takurami,2011,192,8.6
55637.00,8,1,487,Akainu no Shuunen! Luffy o Osou Magma no Kobushi,2011,171,8.4
43228.00,14,1,488,Hisshi no Sakebi: Unmei o Kaeru Yuuki Aru Suubyou,2011,223,8.7
39674.00,15,1,489,Shanks Kenzan! Choujou Sensou Tsui ni Shuuketsu,2011,245,8.8
66747.00,5,1,490,Gun'yuu Kakkyo Su! &quot;Atarashii Jidai&quot; no Hajimari!,2011,143,8.1
69787.00,4,1,491,Nyougashima Jouriku: Luffy o Semeru Kakoku na Genjitsu,2011,137,8
104696.00,2,1,492,"Saikyou Tag! Funtou, Luffy to Toriko!",2011,117,6.2
66353.00,3,1,493,Luffy to Ace: Kyoudai no Deai no Monogatari!,2011,148,8
71604.00,3,1,494,Sabo Toujou! Gray Terminal no Shounen,2011,135,7.9
77804.00,3,1,495,Ore wa Nigenai: Ace Kesshi no Kyuushutsu Sakusen,2011,125,7.7
76899.00,3,1,496,Itsuka Umi e! Sannin no Akudou Chikai no Sakazuki!,2011,124,7.8
77805.00,4,1,497,Dadan Ikka to no Wakare!? Kansei! Himitsu Kichi,2011,125,7.7
83972.00,3,1,498,Luffy Deshiiri!? Kaizoku Ou to Tatakatta Otoko!,2011,123,7.3
83008.00,2,1,499,Ootora to no Kessen! Senchou ni Naru no wa Dare Da!,2011,122,7.4
79403.00,2,1,500,Ubawareta Jiyuu! Sankyoudai ni Semaru Kizoku no Wana,2011,121,7.7
79086.00,2,1,501,Hanatareta Honoo: Gray Terminal no Kiki,2011,125,7.6
80293.00,1,1,502,Jiyuu wa Doko ni Aru? Shounen no Kanashiki Funade,2011,122,7.6
